"keyword","count"
"angel",288
"child",288
"ill never",286
"keeps",285
"youre one",285
"bop",284
"dont think",284
"like im",283
"pull",282
"tired",282
"love dont",280
"apart",279
"magic",279
"tomorrow",279
"ground",278
"bright",277
"uh huh",276
"dont give",275
"just little",274
"ring",274
"gonna get",272
"shake shake shake",272
"worth",272
"yea",272
"baby love",270
"lean",270
"lets get",269
"aint got",268
"moon",268
"baby baby baby",267
"love im",267
"go go",266
"gonna make",266
"get get get",265
"sit",265
"can tell",264
"kinda",264
"blame",263
"eye",263
"love will",262
"mad",262
"wanna see",262
"can take",261
"check",261
"breath",260
"darling",260
"telling",260
"booty",256
"turned",256
"watching",256
"straight",255
"fall love",254
"make love",254
"sugar",254
"know want",253
"will never",253
"rhythm",252
"minute",251
"please dont",249
"let love",248
"love way",248
"feelings",246
"power",246
"sex",245
"wasnt",245
"water",245
"dirty",244
"just want",244
"second",244
"thank",244
"everyday",243
"guy",243
"know dont",243
"pass",243
"night long",242
"say im",242
"already",241
"dem",241
"know can",241
"number",241
"rest",241
"runnin",241
"come back",240
"isnt",240
"afraid",239
"bang",239
"cmon",239
"im one",239
"learn",239
"never gonna",239
"trust",239
"everywhere",237
"ha ha",237
"know just",237
"share",237
"warm",237
"cant stop",236
"cut",236
"giving",235
"needs",235
"think im",235
"broke",233
"higher",233
"nice",233
"youi",233
"closer",232
"called",231
"cant go",231
"half",230
"somewhere",229
"love oh",228
"anymore",227
"gotta get",227
"needed",227
"ooh ooh ooh",227
"uh uh",227
"walking",227
"way love",227
"lil",226
"okay",226
"bet",225
"buy",225
"chorus",224
"clear",224
"fell",224
"nowhere",224
"reach",224
"taste",224
"im love",223
"shot",223
"singing",223
"carry",221
"train",221
"wont let",221
"give love",219
"perfect",219
"calling",218
"close eyes",218
"follow",218
"lovers",218
"ones",218
"turn around",218
"walked",218
"everyone",217
"glad",217
"playing",217
"woo",217
"burning",216
"crying",216
"taking",216
"get back",215
"ice",215
"just one",215
"moving",215
"past",215
"river",215
"blind",214
"cause know",214
"im still",214
"yeah oh",214
"ah ah",213
"kids",213
"know got",213
"near",213
"playin",212
"wanna know",212
"west",212
"clothes",211
"known",211
"like way",211
"sight",211
"grow",210
"heat",210
"every day",209
"loud",208
"pump",208
"son",208
"dig",207
"mess",207
"million",207
"style",207
"upon",207
"ways",207
"funk",206
"pray",206
"baby just",205
"outside",205
"dead",204
"one thing",204
"thats way",204
"looked",203
"shell",203
"lets go",202
"live without",202
"school",202
"shorty",202
"baby girl",201
"brother",201
"finally",201
"special",201
"women",201
"leaving",200
"smoke",200
"cant help",199
"one time",199
"can go",198
"different",198
"hang",198
"ridin",198
"single",198
"knees",197
"five",196
"looks",196
"win",196
"band",195
"four",195
"fresh",195
"funky",195
"scared",195
"wanna get",195
"baby can",194
"cause youre",194
"come get",194
"mmm",194
"time time",194
"diamonds",193
"givin",193
"put hands",193
"tear",193
"want want",193
"across",192
"funny",192
"movin",192
"breathe",191
"da da da da",191
"fill",191
"gun",191
"send",191
"take away",191
"wed",191
"aah",190
"can say",189
"chick",189
"cause dont",188
"fallin",188
"girl know",188
"lead",188
"missing",188
"ohh",188
"outta",188
"read",188
"really wanna",188
"really want",188
"songs",187
"freak",186
"pick",186
"theres nothing",186
"almost",185
"doubt",185
"every night",185
"lives",185
"story",185
"want love",185
"fear",184
"hood",184
"just dont",184
"men",184
"realize",184
"say love",184
"wall",184
"wanna go",184
"window",184
"bye",183
"dont worry",183
"now youre",183
"rollin",183
"sunshine",183
"wear",183
"love can",182
"whenever",182
"whip",182
"baby know",181
"darlin",181
"dont even",181
"good good",181
"sayin",181
"feel way",180
"need love",180
"ooo",180
"radio",180
"shake shake shake shake",180
"mouth",179
"secret",179
"count",178
"ill give",178
"kid",178
"rather",178
"say goodbye",178
"spot",178
"come baby",177
"dance dance",177
"flow",177
"let see",177
"never let",177
"now know",177
"streets",177
"time im",177
"voice",177
"york",177
"clean",176
"youll never",176
"good time",175
"moves",175
"stuck",175
"bass",174
"sea",174
"yet",174
"rockin",173
"thousand",173
"whatcha",173
"bar",172
"eat",172
"happen",172
"mother",172
"need know",172
"now dont",172
"shoes",172
"sittin",172
"write",172
"answer",171
"handle",171
"way feel",171
"bounce",170
"gonna take",170
"green",170
"somehow",170
"walk away",170
"ball",169
"bay",169
"joy",169
"laugh",169
"mei",169
"miles",169
"feels like",168
"got love",168
"know ill",168
"new york",168
"shes got",168
"dont go",167
"peace",167
"que",167
"sign",167
"tryna",167
"whoa whoa",167
"dip",166
"got got",166
"picture",166
"wide",166
"ahead",165
"games",165
"girl dont",165
"turning",165
"cant take",164
"jam",164
"just let",164
"knock",164
"momma",164
"push",164
"stuff",164
"cried",163
"memories",163
"roof",163
"think youre",163
"dancin",162
"dreaming",162
"love love love love",162
"meaning",162
"remind",162
"take home",162
"trouble",162
"get get get get",161
"tell em",161
"wanna make",161
"wine",161
"find way",160
"know like",160
"shining",160
"whoa oh",160
"yeah im",160
"hey hey hey hey",159
"one night",159
"thats right",159
"dick",158
"far away",158
"ill make",158
"one day",158
"one one",158
"yellow",158
"burnin",157
"hoo",157
