"","Artist","Freq"
"566","eddie kendricks",3
"587","ellie goulding",3
"606","eric carmen",3
"612","erykah badu",3
"616","eurythmics",3
"618","evanescence",3
"637","far east movement",3
"641","fetty wap",3
"646","finger eleven",3
"648","firehouse",3
"665","four tops",3
"693","gary wright",3
"707","george strait",3
"715","gilbert osullivan",3
"716","gin blossoms",3
"740","grand funk railroad",3
"761","harry nilsson",3
"764","heatwave",3
"774","hifive",3
"776","hinder",3
"795","hunter hayes",3
"800","ice cube",3
"817","irene cara",3
"844","janet",3
"850","jason der""ulo",3
"856","jay sean",3
"870","jeremih",3
"873","jermaine jackson",3
"876","jerry butler",3
"879","jesse mccartney",3
"883","jessica simpson",3
"895","jim stafford",3
"918","joe tex",3
"924","john cougar",3
"928","john legend",3
"948","johnny nash",3
"958","jordin sparks",3
"991","kci  jojo",3
"1012","keri hilson",3
"1015","kevin rudolf",3
"1020","kid rock",3
"1028","kiss",3
"1057","lenny kravitz",3
"1081","lisa lisa and cult jam",3
"1090","lloyd",3
"1101","lorde",3
"1104","los del r'io",3
"1110","lou rawls",3
"1134","m'ya",3
"1149","marc anthony",3
"1155","mario",3
"1178","mase",3
"1182","matchbox twenty",3
"1200","melissa manchester",3
"1213","miami sound machine",3
"1232","miguel",3
"1233","mike  the mechanics",3
"1287","natalie merchant",3
"1306","neon trees",3
"1327","night ranger",3
"1353","omarion",3
"1370","pablo cruise",3
"1376","paramore",3
"1389","paul anka",3
"1392","paul davis",3
"1395","paul mccartney  wings",3
"1398","paul mccartney and wings",3
"1412","pebbles",3
"1423","peter frampton",3
"1435","phillip phillips",3
"1445","plies",3
"1454","pretty ricky",3
"1456","prince and the new power generation",3
"1457","prince and the revolution",3
"1485","rare earth",3
"1492","ray j",3
"1493","ray parker jr",3
"1495","raydio",3
"1502","rem",3
"1540","robin thicke",3
"1576","sam hunt",3
"1579","samantha fox",3
"1592","sarah mclachlan",3
"1603","sean kingston",3
"1608","selena gomez",3
"1609","selena gomez  the scene",3
"1610","sergio mendes",3
"1612","shaggy",3
"1613","shai",3
"1616","shalamar",3
"1620","shaun cassidy",3
"1635","sia",3
"1660","smokey robinson",3
"1661","snap",3
"1673","sophie b hawkins",3
"1691","starship",3
"1703","stevie nicks",3
"1713","sugar ray",3
"1717","supertramp",3
"1735","taio cruz",3
"1746","technotronic",3
"1760","the alan parsons project",3
"1766","the association",3
"1767","the b52s",3
"1785","the brothers johnson",3
"1786","the buckinghams",3
"1801","the cowsills",3
"1812","the doobie brothers",3
"1827","the four tops",3
"1830","the friends of distinction",3
"1832","the game",3
"1846","the human league",3
"1853","the jacksons",3
"1865","the lovin spoonful",3
"1869","the mamas  the papas",3
"1890","the osmonds",3
"1908","the script",3
"1925","the sylvers",3
"1945","the weeknd",3
"1947","the who",3
"1949","the yardbirds",3
"1960","thompson twins",3
"1965","tiffany",3
"1991","tommy roe",3
"2001","tove lo",3
"2029","uncle kracker",3
"2064","warren g",3
"4","10cc",2
"7","2 chainz",2
"12","38 special",2
"14","3oh3",2
"18","5 seconds of summer",2
"20","69 boyz",2
"21","702",2
"27","a taste of honey",2
"30","aaron neville",2
"32","abc",2
"51","al stewart",2
"53","alabama",2
"64","alicia bridges",2
"70","allure",2
"75","ambrosia",2
"87","andy kim",2
"91","anita baker",2
"115","asia",2
"116","atlanta rhythm section",2
"119","avant",2
"120","average white band",2
"132","bachmanturner overdrive",2
"134","bad company",2
"135","bad english",2
"137","badfinger",2
"143","barbra streisand  barry gibb",2
"161","bell biv devoe",2
"191","billy squier",2
"196","black box",2
"199","blaque",2
"203","blood sweat  tears",2
"213","blues traveler",2
"218","bob seger",2
"222","bob welch",2
"237","bobby vinton",2
"244","bonnie tyler",2
"246","boston",2
"261","breathe",2
"264","brenda lee",2
"274","brooks  dunn",2
"283","bt express",2
"299","camron",2
"312","carole king",2
"330","champaign",2
"331","changing faces",2
"335","charles wright  the watts 103rd street rhythm band",2
"363","christina perri",2
"368","chumbawamba",2
"372","city high",2
"374","clarence carter",2
"375","classics iv",2
"381","climax blues band",2
"384","cobra starship",2
"393","corey hart",2
"395","cornelius brothers  sister rose",2
"398","craig david",2
"403","cream",2
"408","crosby stills  nash",2
"410","crowded house",2
"413","crystal waters",2
"416","curtis mayfield",2
"417","cutting crew",2
"430","dan hill",2
"431","dangelo",2
"432","daniel bedingfield",2
"435","danity kane",2
"446","david banner",2
"453","david lee roth",2
"455","david ruffin",2
"463","debelah morgan",2
"474","dem franchize boyz",2
"476","deniece williams",2
"498","dido",2
"499","dierks bentley",2
"513","divine",2
"516","dj jazzy jeff  the fresh prince",2
"517","dj khaled",2
"526","dolly parton",2
"530","donell jones",2
"531","donna fargo",2
"532","donna lewis",2
"535","donny  marie osmond",2
"573","edgar winter group",2
"580","edwin starr",2
"584","eli young band",2
"598","engelbert humperdinck",2
"599","england dan  john ford coley",2
"600","enigma",2
"619","eve",2
"628","extreme",2
"642","field mob",2
"645","fine young cannibals",2
"651","five for fighting",2
"673","frankie j",2
"676","freda payne",2
"679","freddy fender",2
"718","gino vannelli",2
"721","glass tiger",2
"723","glenn frey",2
"729","gloria gaynor",2
"732","go west",2
"733","golden earring",2
"735","gordon lightfoot",2
"736","gorillaz",2
"738","gq",2
"747","groove theory",2
"753","haddaway",2
"755","hamilton joe frank  reynolds",2
"756","hammer",2
"757","hanson",2
"760","harry chapin",2
"766","heavy d  the boyz",2
"784","hot chocolate",2
"787","howard jones",2
"804","iggy azalea",2
"805","ike  tina turner",2
"809","immature",2
"812","ini kamoze",2
"813","inner circle",2
"814","inoj",2
"818","isaac hayes",2
"819","iyaz",2
"820","j cole",2
"821","j holiday",2
"825","jackie deshannon",2
"831","jaheim",2
"832","jake owen",2
"840","jamie foxx",2
"846","janis ian",2
"854","jay and the americans",2
"859","jayz and alicia keys",2
"865","jefferson airplane",2
"866","jefferson starship",2
"878","jerry reed",2
"884","jessie j",2
"885","jessie j ariana grande and nicki minaj",2
"886","jesus jones",2
"894","jim jones",2
"904","jo dee messina",2
"907","joan jett and the blackhearts",2
"912","joe cocker",2
"914","joe jackson",2
"917","joe south",2
"919","joe walsh",2
"931","john mellencamp",2
"939","john travolta  olivia newtonjohn",2
"941","johnnie taylor",2
"950","jojo",2
"951","jon b",2
"969","julian lennon",2
"971","junior mafia",2
"975","juvenile",2
"979","kansas",2
"997","kelis",2
"1003","kenny g",2
"1006","kenny nolan",2
"1009","kenny rogers  the first edition",2
"1021","kim carnes",2
"1022","kim wilde",2
"1025","kings of leon",2
"1037","kylie minogue",2
"1039","la bouche",2
"1048","lauryn hill",2
"1051","lee ann womack",2
"1052","lee brice",2
"1059","leona lewis",2
"1063","lfo",2
"1066","lil flip",2
"1067","lil jon",2
"1068","lil jon  the east side boyz",2
"1087","little big town",2
"1093","lobo",2
"1108","lou christie",2
"1109","lou gramm",2
"1114","loverboy",2
"1124","lupe fiasco",2
"1127","luther vandross",2
"1137","mac davis",2
"1162","marky mark and the funky bunch",2
"1165","martha and the vandellas",2
"1180","master p",2
"1186","maxi priest",2
"1187","maxine nightingale",2
"1188","maxwell",2
"1189","mc hammer",2
"1190","mc lyte",2
"1198","melanie",2
"1206","merril bainbridge",2
"1225","michael mcdonald",2
"1230","michelle branch",2
"1236","mike posner",2
"1245","miranda lambert",2
"1263","mr big",2
"1265","mr mister",2
"1273","musiq soulchild",2
"1275","mystikal",2
"1280","naked eyes",2
"1296","neil sedaka",2
"1303","nelson",2
"1307","new boyz",2
"1317","nick jonas",2
"1334","no mercy",2
"1348","oliver",2
"1361","orleans",2
"1366","owl city",2
"1369","p diddy",2
"1377","parliament",2
"1378","passenger",2
"1402","paul young",2
"1405","paula cole",2
"1411","pearl jam",2
"1414","percy sledge",2
"1416","pet shop boys",2
"1421","peter cetera",2
"1424","peter gabriel",2
"1439","pink floyd",2
"1444","player",2
"1447","pointer sisters",2
"1460","psy",2
"1462","puddle of mudd",2
"1467","quarterflash",2
"1486","rascal flatts",2
"1489","ray charles",2
"1496","ready for the world",2
"1499","redbone",2
"1519","ricky martin",2
"1526","rita coolidge",2
"1528","rob thomas",2
"1531","robert john",2
"1537","roberta flack  donny hathaway",2
"1541","robyn",2
"1555","rose royce",2
"1559","ruben studdard",2
"1561","rufus",2
"1564","rupert holmes",2
"1565","ryan cabrera",2
"1568","sade",2
"1571","saltnpepa",2
"1578","sam the sham and the pharaohs",2
"1584","sammy davis jr",2
"1587","sandy posey",2
"1602","seals and crofts",2
"1618","shanice",2
"1625","sheila e",2
"1637","silk",2
"1639","silver convention",2
"1641","simple minds",2
"1642","simply red",2
"1646","sisqo",2
"1647","sister hazel",2
"1649","sister sledge",2
"1652","skid row",2
"1658","smash mouth",2
"1664","snoop doggy dogg",2
"1666","snow patrol",2
"1668","somethin for the people",2
"1674","soul asylum",2
"1675","soul for real",2
"1676","soul ii soul",2
"1695","stephen bishop",2
"1696","steppenwolf",2
"1702","stevie b",2
"1710","stray cats",2
"1715","sugarloaf",2
"1718","surface",2
"1734","tag team",2
"1736","take that",2
"1739","tara kemp",2
"1741","tavares",2
"1750","terence trent darby",2
"1755","tesla",2
"1764","the animals",2
"1769","the band perry",2
"1775","the beau brummels",2
"1800","the cover girls",2
"1802","the cranberries",2
"1805","the cure",2
"1807","the dave clark five",2
"1808","the delfonics",2
"1809","the dells",2
"1814","the dramatics",2
"1818","the escape club",2
"1824","the fortunes",2
"1825","the foundations",2
"1826","the four seasons",2
"1835","the greg kihn band",2
"1837","the happenings",2
"1838","the heights",2
"1851","the j geils band",2
"1860","the klf",2
"1864","the lettermen",2
"1867","the lumineers",2
"1868","the main ingredient",2
"1871","the manhattans",2
"1880","the moody blues",2
"1884","the new seekers",2
"1889","the originals",2
"1893","the partridge family",2
"1901","the rascals",2
"1907","the sandpipers",2
"1910","the seekers",2
"1919","the staple singers",2
"1930","the time",2
"1933","the tremeloes",2
"1934","the troggs",2
"1942","the vogues",2
"1952","the zombies",2
"1953","thedream",2
"1961","three 6 mafia",2
"1981","todd rundgren",2
"1984","tom petty",2
"1993","tone loc",2
"1998","tony toni tone",2
"2003","toya",2
"2010","tracy chapman",2
"2016","trick daddy",2
"2021","twista",2
"2024","tyrese",2
"2025","tyrone davis",2
"2028","ugly kid joe",2
"2031","unk",2
"2035","usher and alicia keys",2
"2045","vanilla ice",2
"2053","village people",2
"2061","wang chung",2
"2063","warrant",2
"2069","webbie",2
"2075","white lion",2
"2078","whitesnake",2
"2083","will to power",2
"2085","william",2
"2096","wyclef jean",2
"2099","yes",2
"2101","ying yang twins",2
"2107","young money",2
"2108","youngbloodz",2
"2109","yung joc",2
"2113","zedd",2
"2114","zhane",2
"2115","zz top",2
"1","  the mysterians",1
"2","100 proof aged in soul",1
"3","10000 maniacs",1
"8","2 pistols",1
"9","20 fingers",1
"13","3lw",1
"15","3t",1
"16","4 non blondes",1
"17","4:00 PM",1
"22","8th day",1
"23","95 south",1
"25","a flock of seagulls",1
"26","a great big world and christina aguilera",1
"29","aaron hall",1
"33","ace",1
"34","ace frehley",1
"35","ace hood",1
"37","adam ant",1
"38","adam clayton and larry mullen",1
"39","adam lambert",1
"41","adina howard",1
"44","after the fire",1
"45","aha",1
"46","ahmad",1
"49","al b sure",1
"52","al wilson",1
"54","alabama and n sync",1
"56","alan oday",1
"58","alannah myles",1
"59","albert hammond",1
"60","alessia cara",1
"61","alex clare",1
"63","alice deejay",1
"66","alive n kickin",1
"67","all saints",1
"69","allen kriskris allen",1
"71","aloe blacc",1
"72","amanda perez",1
"73","amazing rhythm aces",1
"74","amber",1
"76","ame lorain",1
"78","american authors",1
"79","amerie",1
"80","amii stewart",1
"82","amy winehouse",1
"83","andrea true connection",1
"84","andrew gold",1
"86","andy grammer",1
"88","andy williams",1
"89","angie martinez",1
"90","animotion",1
"92","anita ward",1
"93","ann wilson and robin zander",1
"94","anna kendrick",1
"96","annie lennox",1
"97","another bad creation",1
"98","apollo 100",1
"99","aqua",1
"100","arcadia",1
"101","archie bell  the drells",1
"103","aretha franklin and george michael",1
"104","argent",1
"106","ariana grande and the weeknd",1
"107","arlo guthrie",1
"109","arthur conley",1
"110","asap rocky",1
"112","asher roth",1
"113","ashford  simpson",1
"114","ashlee simpson",1
"118","audioslave",1
"123","awolnation",1
"124","az",1
"126","b2k",1
"127","b2k and p diddy",1
"128","baauer",1
"130","baby boy da prince",1
"136","bad meets evil",1
"138","baltimora",1
"140","barbara lewis",1
"141","barbara mason",1
"144","barbra streisand  donna summer",1
"145","barbra streisand and bryan adams",1
"146","barenaked ladies",1
"148","barry mcguire",1
"150","bastille",1
"152","bazuka",1
"153","bb king",1
"154","bbmak",1
"155","beastie boys",1
"156","beck",1
"157","becky g",1
"159","beenie man",1
"162","ben e king",1
"163","benny mardones",1
"164","berlin",1
"165","bert kaempfert",1
"166","bertie higgins",1
"168","better than ezra",1
"169","betty wright",1
"170","beverly bremers",1
"172","big brother and the holding company",1
"173","big mountain",1
"174","big pun",1
"176","big tymers",1
"177","bill conti deetta little and nelson pigford",1
"178","bill cosby",1
"179","bill medley and jennifer warnes",1
"181","billie myers",1
"182","billy currington",1
"184","billy joe royal",1
"187","billy paul",1
"189","billy preston and syreeta",1
"190","billy ray cyrus",1
"192","billy swan",1
"193","billy vera and the beaters",1
"194","biz markie",1
"200","blessid union of souls",1
"201","blink 182",1
"204","bloodstone",1
"205","blu cantrell",1
"206","blue cheer",1
"207","blue magic",1
"208","blue october",1
"209","blue ridge rangers",1
"210","blue swede",1
"211","blues image",1
"212","blues magoos",1
"214","bo donaldson and the heywoods",1
"217","bob lind",1
"220","bob seger and the silver bullet band",1
"221","bob seger system",1
"223","bobbi martin",1
"224","bobbie gentry",1
"225","bobby boris pickett and the cryptkickers",1
"227","bobby caldwell",1
"228","bobby darin",1
"229","bobby fuller four",1
"231","bobby hebb",1
"232","bobby mcferrin",1
"234","bobby shmurda",1
"235","bobby valentino",1
"236","bobby vee",1
"238","bobby womack",1
"239","bodeans",1
"242","bonnie pointer",1
"248","boy krazy",1
"249","boy meets girl",1
"250","boys club",1
"254","brad paisley",1
"255","brad paisley and carrie underwood",1
"257","brandy and monica",1
"258","brantley gilbert",1
"260","breakfast club",1
"262","brenda  the tabulations",1
"263","brenda k starr",1
"265","brenda russell",1
"266","brenton wood",1
"267","brewer  shipley",1
"269","brick",1
"271","brock and the bizz",1
"272","brook benton",1
"273","brooke valentine",1
"275","brownstone",1
"276","brownsville station",1
"279","bruce willis",1
"282","bryan adams rod stewart and sting",1
"284","bubba sparxxx",1
"285","buckcherry",1
"286","buckner  garcia",1
"287","buffalo springfield",1
"288","burton cummings",1
"290","busta rhymes and mariah carey",1
"291","bw stevenson",1
"292","c w mccall",1
"293","cah out",1
"294","cali swag district",1
"295","calloway",1
"297","calvin harris and disciples",1
"298","cameo",1
"300","candi staton",1
"301","candlebox",1
"302","capital cities",1
"304","captain hollywood project",1
"305","carl douglas",1
"306","carl thomas",1
"307","carla thomas",1
"308","carly rae jepsen",1
"310","carly simon  james taylor",1
"311","carol douglas",1
"314","cascada",1
"316","cassidy",1
"317","cassie",1
"322","cee lo green",1
"324","celine dion and peabo bryson",1
"325","chad brock",1
"326","chad kroeger",1
"327","chairmen of the board",1
"328","chaka khan",1
"329","chamillionaire",1
"332","chante moore",1
"333","charlene",1
"334","charles  eddie",1
"336","charley pride",1
"337","charli xcx",1
"338","charlie daniels band",1
"339","charlie dore",1
"340","charlie puth",1
"343","checkmates ltd",1
"345","cher and peter cetera",1
"346","cher lloyd",1
"347","cherish",1
"348","cheryl lynn",1
"349","chesney hawkes",1
"354","chris brown and tyga",1
"355","chris de burgh",1
"356","chris isaak",1
"357","chris montez",1
"358","chris rea",1
"359","christie",1
"361","christina aguilera lil kim m'ya and pink",1
"362","christina milian",1
"364","christine mcvie",1
"366","chuck berry",1
"367","chuck mangione",1
"370","ciara and missy elliott",1
"371","citizen king",1
"373","cj  company",1
"376","clay aiken",1
"377","clean bandit",1
"378","cliff nobles",1
"380","climax",1
"382","clint holmes",1
"383","club nouveau",1
"386","colby odonis",1
"390","commander cody and his lost planet airmen",1
"394","corina",1
"396","corona",1
"397","count five",1
"399","craig mack",1
"400","crash test dummies",1
"401","crazy elephant",1
"402","crazy town",1
"406","crime mob and lil scrappy",1
"407","crispian st peters",1
"409","crosby stills nash  young",1
"411","crucial conflict",1
"412","crystal gayle",1
"414","culture beat",1
"419","cypress hill",1
"420","d mob",1
"421","d12",1
"422","d4l",1
"424","daddy dewdrop",1
"425","daddy yankee",1
"426","daft punk",1
"427","damn yankees",1
"429","dan hartman",1
"433","daniel boone",1
"434","daniel powter",1
"436","darius rucker",1
"437","darryl worley",1
"438","daryl hall",1
"440","das efx",1
"442","dave edmunds",1
"443","dave loggins",1
"444","dave matthews band",1
"445","david archuleta",1
"448","david cook",1
"449","david essex",1
"450","david gates",1
"452","david houston",1
"454","david naughton",1
"456","david soul",1
"457","dawn",1
"458","dazz band",1
"459","dean friedman",1
"462","debby boone",1
"465","deeelite",1
"466","deep blue something",1
"467","deep purple",1
"469","default",1
"470","del amitri",1
"471","del shannon",1
"472","delaney  bonnie  friends",1
"473","delbert mcclinton",1
"477","denise lasalle",1
"478","dennis coffey",1
"479","deodato",1
"480","deon estus",1
"481","deon jackson",1
"482","depeche mode",1
"483","derek and the dominos",1
"484","desree",1
"486","dev",1
"487","devo",1
"488","dexys midnight runners",1
"489","dht",1
"490","diamond rio",1
"491","diana king",1
"493","diana ross  lionel richie",1
"494","diana ross  marvin gaye",1
"495","dickey lee",1
"496","diddy",1
"497","diddy  dirty money",1
"500","digable planets",1
"501","digital underground",1
"503","dino desi  billy",1
"504","dionne and friends dionne warwick gladys knight elton john and stevie wonder",1
"505","dionne farris",1
"507","dionne warwick  the spinners",1
"509","dirty vegas",1
"510","disclosure",1
"511","discotex and the sexolettes",1
"512","dishwalla",1
"514","divinyls",1
"518","dj kool",1
"519","dj sammy",1
"520","dj snake and alunageorge",1
"521","dj snake and lil jon",1
"522","dmx",1
"523","dna",1
"524","do or die",1
"525","dobie gray",1
"527","domino",1
"534","donna summer and brooklyn dreams",1
"536","donny and marie osmond",1
"539","dorothy moore",1
"540","dottie west  kenny rogers",1
"541","dr buzzards original savannah band",1
"545","dr john",1
"547","dream",1
"548","dream academy",1
"549","drs",1
"551","duice",1
"552","duncan sheik",1
"554","dusty springfield",1
"555","dwight twilley band",1
"556","e40",1
"557","eagleeye cherry",1
"559","eamon",1
"561","earth wind  fire  the emotions",1
"562","echosmith",1
"563","ed ames",1
"565","eddie holman",1
"568","eddie murphy",1
