"Artist","Freq"
"britney spears",16
"maroon 5",16
"the black eyed peas",16
"chris brown",17
"katy perry",17
"kelly clarkson",17
"r kelly",17
"the beatles",17
"pink",18
"beyonce",19
"taylor swift",20
"usher",21
"whitney houston",21
"michael jackson",22
"stevie wonder",22
"janet jackson",23
"elton john",26
"rihanna",28
"mariah carey",29
"madonna",36
NA,2
NA,16
